d_full_i
19.731199
7.4197001
3.1243
2.0470002
1.2206999
1.0022
.75580001
.57539999
.44530001
.40850002
.40890002
.4296
.4474
.465
.50909996
.56110001
.61500001
.6135
.71020001
.69519997
.73000002
.75340003
.7177
.73360002
.7295
.76090002
.7044
.66949999
.73299998
.74200004
.82499999
.72929996
.78659999
.76700002
.7802
.82080001
.82550001
.82730001
.81479996
.83109999
.75959998
.81529999
.81740004
.80359995
.86814997
.93269998
.92719996
.91509998
1.3794999
1.164
1.13595
1.1079
1.1855
1.1680001
1.3508
1.428
1.5333999
1.5555
1.5684999
1.9692
1.9102
2.0177999
2.1478999
2.4568999
2.4756999
2.8749001
3.0504
3.2671001
3.6403999
4.5961001
5.5518003
5.1476998
5.6503
6.5966499
7.5429997
7.6043665
7.6657332
7.7270999
7.9632001
10.4359
10.4194
12.4392
12.840199
15.504999
14.9079
16.9837
19.6672
20.2962
20.9473
22.4659
25.674501
